AgeBP, YearCE, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
 -117000,  -115050,   -0.77,    0.84,    0.43,   -2.30,   -3.90,   -1.33,    5.73,   14.94,   20.40,   17.66,    8.55,    0.66
 -116000,  -114050,   -2.98,   -1.87,   -0.08,   -0.68,   -2.08,   -0.97,    4.20,   12.57,   19.58,   20.04,   12.53,    2.22
 -115000,  -113050,   -4.24,   -4.16,   -0.60,    1.13,    0.16,   -0.33,    2.44,    9.01,   16.26,   19.19,   14.27,    3.70
 -114000,  -112050,   -4.33,   -5.68,   -1.06,    2.96,    2.58,    0.36,    0.28,    4.31,   10.87,   15.60,   13.88,    5.01
 -113000,  -111050,   -3.98,   -6.43,   -1.39,    4.56,    4.89,    1.01,   -2.09,   -0.96,    4.28,   10.01,   11.18,    5.06
 -112000,  -110050,   -3.05,   -6.27,   -1.57,    5.82,    7.06,    1.69,   -4.53,   -6.53,   -2.92,    3.30,    7.09,    4.39
 -111000,  -109050,   -2.31,   -5.57,   -1.57,    6.48,    8.54,    1.95,   -7.21,  -12.21,  -10.18,   -3.70,    2.19,    2.75
 -110000,  -108050,   -1.42,   -4.34,   -1.42,    6.59,    9.55,    2.28,   -9.57,  -17.55,  -17.03,  -10.33,   -2.67,    0.92
 -109000,  -107050,   -0.64,   -2.95,   -1.15,    6.05,    9.54,    2.00,  -12.04,  -22.62,  -23.23,  -16.09,   -6.83,   -0.76
 -108000,  -106050,    0.33,   -1.37,   -0.80,    5.06,    9.01,    1.98,  -13.60,  -26.76,  -28.56,  -20.85,  -10.04,   -1.87
 -107000,  -105050,    1.60,    0.23,   -0.42,    3.69,    7.57,    1.41,  -14.85,  -30.06,  -32.84,  -24.34,  -11.93,   -2.03
 -106000,  -104050,    3.17,    1.86,   -0.03,    2.15,    5.83,    1.29,  -14.57,  -31.67,  -36.01,  -27.02,  -12.97,   -1.49
 -105000,  -103050,    5.18,    3.53,    0.35,    0.56,    3.64,    0.81,  -13.57,  -31.66,  -37.59,  -28.48,  -12.94,   -0.05
 -104000,  -102050,    7.19,    5.11,    0.69,   -0.94,    1.44,    0.66,  -10.97,  -29.20,  -37.52,  -29.43,  -12.87,    1.42
 -103000,  -101050,    9.27,    6.62,    1.00,   -2.27,   -0.70,    0.30,   -7.88,  -24.75,  -35.08,  -28.93,  -12.24,    3.13
 -102000,  -100050,   10.73,    7.81,    1.25,   -3.40,   -2.62,   -0.02,   -4.13,  -18.18,  -30.30,  -27.58,  -12.15,    3.91
 -101000,   -99050,   11.63,    8.65,    1.44,   -4.23,   -4.14,   -0.37,   -0.66,  -10.69,  -23.09,  -24.08,  -11.40,    4.32
 -100000,   -98050,   11.35,    8.89,    1.53,   -4.80,   -5.33,   -0.84,    2.28,   -2.95,  -14.20,  -19.02,  -10.72,    3.48
  -99000,   -97050,   10.20,    8.50,    1.53,   -4.98,   -5.94,   -1.11,    4.50,    3.88,   -4.70,  -11.98,   -8.67,    2.48
  -98000,   -96050,    7.93,    7.37,    1.41,   -4.85,   -6.18,   -1.48,    5.67,    9.06,    4.13,   -4.09,   -5.82,    1.01
  -97000,   -95050,    5.20,    5.63,    1.18,   -4.29,   -5.76,   -1.48,    6.26,   12.43,   11.20,    3.76,   -1.73,    0.19
  -96000,   -94050,    2.21,    3.40,    0.84,   -3.41,   -4.97,   -1.52,    5.87,   13.62,   15.71,   10.37,    2.80,   -0.04
  -95000,   -93050,   -0.40,    0.98,    0.43,   -2.17,   -3.60,   -1.18,    5.16,   13.21,   17.59,   14.79,    6.93,    0.51
  -94000,   -92050,   -2.35,   -1.35,   -0.03,   -0.73,   -1.94,   -0.84,    3.78,   11.06,   16.78,   16.68,   10.10,    1.67
  -93000,   -91050,   -3.56,   -3.33,   -0.47,    0.85,    0.02,   -0.29,    2.21,    7.91,   13.90,   15.93,   11.45,    2.70
  -92000,   -90050,   -3.86,   -4.69,   -0.86,    2.40,    2.08,    0.28,    0.27,    3.76,    9.29,   13.01,   11.17,    3.64
  -91000,   -89050,   -3.78,   -5.46,   -1.15,    3.75,    4.03,    0.78,   -1.85,   -0.88,    3.65,    8.42,    9.10,    3.67
  -90000,   -88050,   -3.13,   -5.49,   -1.32,    4.84,    5.85,    1.32,   -4.01,   -5.78,   -2.58,    2.86,    5.94,    3.27
  -89000,   -87050,   -2.50,   -5.06,   -1.36,    5.47,    7.12,    1.54,   -6.34,  -10.78,   -8.92,   -3.06,    2.04,    2.14
  -88000,   -86050,   -1.65,   -4.13,   -1.26,    5.68,    8.08,    1.87,   -8.33,  -15.44,  -14.97,   -8.83,   -1.96,    0.87
  -87000,   -85050,   -0.87,   -3.01,   -1.08,    5.38,    8.23,    1.71,  -10.35,  -19.79,  -20.49,  -14.00,   -5.58,   -0.40
  -86000,   -84050,    0.06,   -1.69,   -0.81,    4.71,    8.01,    1.81,  -11.59,  -23.27,  -25.21,  -18.42,   -8.61,   -1.38
  -85000,   -83050,    1.14,   -0.32,   -0.51,    3.70,    7.04,    1.43,  -12.63,  -26.03,  -28.97,  -21.79,  -10.67,   -1.76
  -84000,   -82050,    2.34,    1.05,   -0.19,    2.52,    5.83,    1.39,  -12.49,  -27.38,  -31.66,  -24.37,  -12.09,   -1.73
  -83000,   -81050,    3.79,    2.42,    0.13,    1.26,    4.17,    0.98,  -11.98,  -27.60,  -33.04,  -25.79,  -12.53,   -1.01
  -82000,   -80050,    5.18,    3.68,    0.42,    0.03,    2.49,    0.86,  -10.27,  -26.06,  -33.10,  -26.61,  -12.76,   -0.23
  -81000,   -79050,    6.65,    4.85,    0.67,   -1.09,    0.77,    0.50,   -8.28,  -23.24,  -31.52,  -26.21,  -12.29,    0.91
  -80000,   -78050,    7.70,    5.77,    0.88,   -2.04,   -0.79,    0.28,   -5.64,  -18.90,  -28.42,  -25.18,  -12.04,    1.53
  -79000,   -77050,    8.48,    6.45,    1.04,   -2.77,   -2.09,   -0.02,   -3.13,  -13.87,  -23.74,  -22.74,  -11.20,    2.11
  -78000,   -76050,    8.50,    6.72,    1.13,   -3.29,   -3.13,   -0.30,   -0.74,   -8.37,  -17.93,  -19.49,  -10.52,    1.88
  -77000,   -75050,    8.04,    6.60,    1.15,   -3.53,   -3.75,   -0.51,    1.18,   -3.27,  -11.53,  -14.99,   -9.05,    1.60
  -76000,   -74050,    6.80,    6.00,    1.10,   -3.54,   -4.09,   -0.76,    2.48,    1.03,   -5.27,  -10.01,   -7.37,    0.78
  -75000,   -73050,    5.25,    5.01,    0.96,   -3.25,   -3.96,   -0.80,    3.27,    4.15,    0.11,   -4.82,   -4.94,    0.28
  -74000,   -72050,    3.37,    3.67,    0.76,   -2.74,   -3.56,   -0.88,    3.37,    5.87,    4.08,   -0.22,   -2.38,   -0.16
  -73000,   -71050,    1.63,    2.18,    0.51,   -1.99,   -2.76,   -0.71,    3.11,    6.35,    6.36,    3.29,    0.18,   -0.12
  -72000,   -70050,    0.13,    0.68,    0.23,   -1.10,   -1.76,   -0.55,    2.34,    5.56,    6.87,    5.33,    2.26,    0.16
  -71000,   -69050,   -0.94,   -0.65,   -0.05,   -0.12,   -0.53,   -0.23,    1.35,    3.89,    5.85,    5.75,    3.46,    0.55
  -70000,   -68050,   -1.53,   -1.68,   -0.30,    0.86,    0.76,    0.10,    0.10,    1.46,    3.52,    4.73,    3.76,    0.96
  -69000,   -67050,   -1.77,   -2.35,   -0.50,    1.73,    2.02,    0.43,   -1.28,   -1.44,    0.31,    2.51,    3.05,    1.06
  -68000,   -66050,   -1.62,   -2.60,   -0.64,    2.45,    3.19,    0.79,   -2.67,   -4.56,   -3.45,   -0.51,    1.61,    0.97
  -67000,   -65050,   -1.35,   -2.54,   -0.69,    2.91,    4.05,    0.97,   -4.15,   -7.79,   -7.44,   -3.96,   -0.35,    0.56
  -66000,   -64050,   -0.87,   -2.16,   -0.68,    3.14,    4.71,    1.23,   -5.39,  -10.80,  -11.35,   -7.51,   -2.54,    0.04
  -65000,   -63050,   -0.33,   -1.60,   -0.60,    3.08,    4.93,    1.20,   -6.64,  -13.64,  -15.02,  -10.84,   -4.65,   -0.50
  -64000,   -62050,    0.31,   -0.87,   -0.47,    2.82,    4.95,    1.31,   -7.40,  -15.90,  -18.21,  -13.86,   -6.60,   -0.98
  -63000,   -61050,    1.04,   -0.07,   -0.32,    2.35,    4.54,    1.12,   -8.10,  -17.76,  -20.85,  -16.31,   -8.08,   -1.19
  -62000,   -60050,    1.79,    0.76,   -0.14,    1.78,    4.01,    1.12,   -8.14,  -18.77,  -22.80,  -18.33,   -9.33,   -1.32
  -61000,   -59050,    2.65,    1.59,    0.04,    1.12,    3.20,    0.88,   -8.08,  -19.25,  -24.02,  -19.64,  -10.01,   -1.10
  -60000,   -58050,    3.41,    2.36,    0.21,    0.46,    2.38,    0.83,   -7.37,  -18.78,  -24.46,  -20.56,  -10.61,   -0.95
  -59000,   -57050,    4.21,    3.07,    0.36,   -0.18,    1.48,    0.59,   -6.64,  -17.81,  -24.09,  -20.72,  -10.67,   -0.51
  -58000,   -56050,    4.77,    3.64,    0.50,   -0.75,    0.64,    0.50,   -5.46,  -16.06,  -22.98,  -20.54,  -10.80,   -0.34
  -57000,   -55050,    5.28,    4.10,    0.61,   -1.22,   -0.13,    0.30,   -4.40,  -14.06,  -21.21,  -19.62,  -10.44,    0.01
  -56000,   -54050,    5.44,    4.36,    0.68,   -1.60,   -0.79,    0.18,   -3.19,  -11.65,  -18.93,  -18.44,  -10.19,   -0.01
  -55000,   -53050,    5.51,    4.49,    0.73,   -1.86,   -1.28,    0.03,   -2.20,   -9.36,  -16.33,  -16.66,   -9.49,    0.14
  -54000,   -52050,    5.23,    4.41,    0.74,   -2.01,   -1.65,   -0.09,   -1.27,   -7.07,  -13.60,  -14.78,   -8.89,   -0.07
  -53000,   -51050,    4.89,    4.21,    0.72,   -2.03,   -1.82,   -0.16,   -0.60,   -5.14,  -10.96,  -12.60,   -7.89,   -0.07
  -52000,   -50050,    4.29,    3.83,    0.67,   -1.97,   -1.89,   -0.24,   -0.09,   -3.50,   -8.53,  -10.53,   -7.02,   -0.31
  -51000,   -49050,    3.70,    3.38,    0.60,   -1.80,   -1.78,   -0.24,    0.21,   -2.32,   -6.49,   -8.48,   -5.89,   -0.32
  -50000,   -48050,    2.98,    2.83,    0.51,   -1.56,   -1.59,   -0.25,    0.32,   -1.51,   -4.88,   -6.74,   -4.94,   -0.47
  -49000,   -47050,    2.34,    2.25,    0.41,   -1.24,   -1.26,   -0.18,    0.27,   -1.13,   -3.75,   -5.25,   -3.92,   -0.42
  -48000,   -46050,    1.68,    1.64,    0.30,   -0.88,   -0.87,   -0.12,    0.08,   -1.11,   -3.10,   -4.18,   -3.12,   -0.44
  -47000,   -45050,    1.14,    1.07,    0.18,   -0.48,   -0.39,   -0.02,   -0.25,   -1.45,   -2.93,   -3.47,   -2.41,   -0.35
  -46000,   -44050,    0.65,    0.52,    0.07,   -0.07,    0.13,    0.10,   -0.67,   -2.06,   -3.20,   -3.20,   -1.97,   -0.30
  -45000,   -43050,    0.29,    0.05,   -0.04,    0.35,    0.68,    0.22,   -1.21,   -2.98,   -3.88,   -3.31,   -1.72,   -0.21
  -44000,   -42050,    0.02,   -0.35,   -0.15,    0.77,    1.27,    0.37,   -1.78,   -4.10,   -4.93,   -3.83,   -1.75,   -0.18
  -43000,   -41050,   -0.13,   -0.65,   -0.23,    1.15,    1.82,    0.48,   -2.49,   -5.46,   -6.32,   -4.69,   -2.00,   -0.17
  -42000,   -40050,   -0.17,   -0.83,   -0.30,    1.49,    2.38,    0.66,   -3.16,   -6.92,   -7.98,   -5.91,   -2.53,   -0.23
  -41000,   -39050,   -0.11,   -0.89,   -0.34,    1.75,    2.82,    0.73,   -3.96,   -8.59,   -9.88,   -7.37,   -3.23,   -0.33
  -40000,   -38050,    0.05,   -0.82,   -0.36,    1.94,    3.26,    0.90,   -4.63,  -10.21,  -11.90,   -9.08,   -4.17,   -0.51
  -39000,   -37050,    0.32,   -0.62,   -0.34,    2.01,    3.49,    0.89,   -5.43,  -11.94,  -14.02,  -10.86,   -5.16,   -0.67
  -38000,   -36050,    0.66,   -0.29,   -0.30,    1.98,    3.67,    1.03,   -5.96,  -13.45,  -16.09,  -12.73,   -6.29,   -0.91
  -37000,   -35050,    1.11,    0.15,   -0.22,    1.80,    3.58,    0.94,   -6.58,  -14.93,  -18.05,  -14.46,   -7.26,   -1.02
  -36000,   -34050,    1.60,    0.67,   -0.12,    1.52,    3.40,    1.00,   -6.79,  -15.96,  -19.74,  -16.13,   -8.29,   -1.17
  -35000,   -33050,    2.23,    1.27,   -0.00,    1.11,    2.94,    0.83,   -7.01,  -16.77,  -21.09,  -17.41,   -8.97,   -1.06
  -34000,   -32050,    2.84,    1.90,    0.13,    0.62,    2.41,    0.81,   -6.71,  -16.90,  -21.94,  -18.51,   -9.63,   -1.01
  -33000,   -31050,    3.58,    2.56,    0.28,    0.07,    1.68,    0.61,   -6.35,  -16.61,  -22.19,  -19.02,   -9.85,   -0.65
  -32000,   -30050,    4.20,    3.17,    0.41,   -0.49,    0.90,    0.52,   -5.45,  -15.48,  -21.74,  -19.24,  -10.09,   -0.45
  -31000,   -29050,    4.87,    3.75,    0.54,   -1.03,    0.08,    0.32,   -4.50,  -13.85,  -20.50,  -18.71,   -9.83,   -0.01
  -30000,   -28050,    5.25,    4.18,    0.65,   -1.52,   -0.72,    0.17,   -3.20,  -11.48,  -18.44,  -17.77,   -9.66,    0.12
  -29000,   -27050,    5.52,    4.48,    0.73,   -1.91,   -1.40,   -0.01,   -1.97,   -8.81,  -15.62,  -15.99,   -8.96,    0.37
  -28000,   -26050,    5.35,    4.53,    0.77,   -2.18,   -1.97,   -0.17,   -0.72,   -5.84,  -12.21,  -13.75,   -8.28,    0.21
  -27000,   -25050,    4.96,    4.34,    0.76,   -2.29,   -2.30,   -0.29,    0.31,   -3.06,   -8.51,  -10.82,   -7.03,    0.17
  -26000,   -24050,    4.13,    3.84,    0.71,   -2.23,   -2.45,   -0.42,    1.04,   -0.63,   -4.88,   -7.66,   -5.68,   -0.15
  -25000,   -23050,    3.15,    3.12,    0.60,   -1.96,   -2.28,   -0.42,    1.47,    1.14,   -1.74,   -4.44,   -3.92,   -0.23
  -24000,   -22050,    1.96,    2.15,    0.44,   -1.53,   -1.89,   -0.43,    1.48,    2.08,    0.57,   -1.62,   -2.16,   -0.31
  -23000,   -21050,    0.87,    1.09,    0.25,   -0.92,   -1.22,   -0.29,    1.19,    2.16,    1.77,    0.44,   -0.50,   -0.15
  -22000,   -20050,   -0.09,    0.02,    0.03,   -0.19,   -0.35,   -0.11,    0.53,    1.34,    1.76,    1.49,    0.75,    0.09
  -21000,   -19050,   -0.78,   -0.93,   -0.19,    0.61,    0.68,    0.14,   -0.38,   -0.24,    0.56,    1.37,    1.35,    0.35
  -20000,   -18050,   -1.14,   -1.64,   -0.38,    1.42,    1.81,    0.44,   -1.49,   -2.46,   -1.66,    0.12,    1.22,    0.54
  -19000,   -17050,   -1.25,   -2.07,   -0.53,    2.11,    2.85,    0.68,   -2.83,   -5.20,   -4.70,   -2.08,    0.33,    0.50
  -18000,   -16050,   -1.06,   -2.15,   -0.61,    2.67,    3.84,    0.98,   -4.14,   -8.16,   -8.26,   -4.99,   -1.19,    0.29
  -17000,   -15050,   -0.72,   -1.95,   -0.63,    2.98,    4.51,    1.08,   -5.61,  -11.31,  -12.11,   -8.27,   -3.08,   -0.13
  -16000,   -14050,   -0.19,   -1.46,   -0.58,    3.05,    4.98,    1.28,   -6.76,  -14.23,  -15.91,  -11.68,   -5.18,   -0.63
  -15000,   -13050,    0.46,   -0.78,   -0.47,    2.84,    4.99,    1.18,   -7.95,  -16.98,  -19.46,  -14.85,   -7.10,   -1.02
  -14000,   -12050,    1.22,    0.07,   -0.30,    2.41,    4.77,    1.26,   -8.52,  -19.02,  -22.51,  -17.72,   -8.88,   -1.35
  -13000,   -11050,    2.15,    1.00,   -0.11,    1.77,    4.10,    1.02,   -8.95,  -20.53,  -24.87,  -19.93,  -10.09,   -1.30
  -12000,   -10050,    3.09,    1.96,    0.10,    1.01,    3.26,    1.00,   -8.56,  -20.90,  -26.35,  -21.66,  -11.10,   -1.20
  -11000,    -9050,    4.16,    2.93,    0.30,    0.20,    2.17,    0.72,   -7.96,  -20.46,  -26.78,  -22.46,  -11.43,   -0.69
  -10000,    -8050,    5.05,    3.77,    0.50,   -0.60,    1.06,    0.61,   -6.61,  -18.75,  -26.07,  -22.72,  -11.71,   -0.35
   -9000,    -7050,    5.90,    4.51,    0.66,   -1.32,   -0.06,    0.35,   -5.19,  -16.29,  -24.15,  -21.89,  -11.35,    0.23
   -8000,    -6050,    6.31,    5.00,    0.79,   -1.92,   -1.07,    0.16,   -3.43,  -12.93,  -21.14,  -20.45,  -11.05,    0.36
   -7000,    -5050,    6.50,    5.26,    0.87,   -2.34,   -1.85,   -0.06,   -1.86,   -9.37,  -17.25,  -17.93,  -10.09,    0.58
   -6000,    -4050,    6.10,    5.17,    0.89,   -2.58,   -2.43,   -0.27,   -0.43,   -5.73,  -12.85,  -14.89,   -9.12,    0.30
   -5000,    -3050,    5.43,    4.78,    0.85,   -2.58,   -2.67,   -0.38,    0.63,   -2.61,   -8.46,  -11.24,   -7.52,    0.17
   -4000,    -2050,    4.31,    4.05,    0.75,   -2.40,   -2.67,   -0.49,    1.26,   -0.20,   -4.54,   -7.63,   -5.86,   -0.21
   -3000,    -1050,    3.13,    3.13,    0.60,   -1.99,   -2.31,   -0.44,    1.51,    1.27,   -1.56,   -4.31,   -3.92,   -0.28
   -2000,      -50,    1.86,    2.03,    0.42,   -1.43,   -1.75,   -0.39,    1.30,    1.73,    0.23,   -1.79,   -2.19,   -0.34
   -1000,      950,    0.81,    0.96,    0.21,   -0.74,   -0.94,   -0.20,    0.80,    1.27,    0.73,   -0.31,   -0.79,   -0.17
       0,     1950,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00
